ACADEMIC_PERIOD,CRN,SUBJECT,COURSE_NUMBER,SUBJECT_DESC,STATUS,STATUS_DESC,TITLE_SHORT_DESC,MIN_CREDITS,MAX_CREDITS,CAMPUS_DESC,MAXIMUM_ENROLLMENT,ACTUAL_ENROLLMENT,SEATS_AVAILABLE,PERCENTAGE_OF_RESPONSIBILITY,PRIMARY_INSTRUCTOR_FIRST_NAME,PRIMARY_INSTRUCTOR_LAST_NAME,SECTION,BEGIN_TIME,END_TIME,BUILDING,BUILDING_DESC,ROOM,COURSE_CAMPUS_DESC,MONDAY_IND,TUESDAY_IND,WEDNESDAY_IND,THURSDAY_IND,FRIDAY_IND,SATURDAY_IND,SUNDAY_IND,SECTION_CROSS_LIST,WAIT_CAPACITY,WAIT_AVAIL,PART_OF_TERM,SESSION,SECTION,SCHEDULE_TYPE,TOTAL_CREDITS_SECTION,GEN1_Attr,GEN2_Attr,GEN3_Attr,GEN4_Attr,GEN5_Attr
202208,14600,MATH,1060,MATH - Mathematics,A,Active,Mat Decision Making,3,3,Athens,45,44,1,100,Roy,Segars,0,1350,1440,1023,Boyd Research & Education CTR,0328,Athens,M,,W,,F,,,,999,999,1,A,0,LEC,132,,,GEN3,,
202308,14600,MATH,1060,MATH - Mathematics,A,Active,Mat Decision Making,3,3,Athens,45,44,1,100,Roy,Segars,0,1350,1440,1023,Boyd Research & Education CTR,0328,Athens,M,,W,,F,,,,999,999,1,A,0,LEC,132,,,GEN3,,
202108,14600,MATH,1060,MATH - Mathematics,A,Active,Mat Decision Making,3,3,Athens,45,45,0,100,Roy,Segars,0,1130,1220,1010,Dawson Hall,0306,Athens,M,,W,,F,,,,999,999,1,A,0,LEC,135,,,GEN3,,
202508,14601,MATH,1060,MATH - Mathematics,A,Active,Mat Decision Making,3,3,Athens,45,21,24,100,Brett,Collins,0,1130,1220,1050,Enviro Health Sci,0101,Athens,M,,W,,F,,,,999,999,1,A,0,LEC,63,,,GEN3,,
202408,14601,MATH,1060,MATH - Mathematics,A,Active,Mat Decision Making,3,3,Athens,45,43,2,100,Brett,Collins,0,1130,1220,1010,Dawson Hall,0208,Athens,M,,W,,F,,,,999,999,1,A,0,LEC,129,,,GEN3,,
202108,14601,MATH,1060,MATH - Mathematics,A,Active,Mat Decision Making,3,3,Athens,45,45,0,100,Roy,Segars,0,1020,1110,1010,Dawson Hall,0306,Athens,M,,W,,F,,,,999,999,1,A,0,LEC,135,,,GEN3,,
202208,14601,MATH,1060,MATH - Mathematics,A,Active,Mat Decision Making,3,3,Athens,45,45,0,100,Roy,Segars,0,1240,1330,1023,Boyd Research & Education CTR,0328,Athens,M,,W,,F,,,,999,999,1,A,0,LEC,135,,,GEN3,,
202308,14601,MATH,1060,MATH - Mathematics,A,Active,Mat Decision Making,3,3,Athens,45,46,-1,100,Roy,Segars,0,1240,1330,1041,Robt C Wilson Phar,0238,Athens,M,,W,,F,,,,999,999,1,A,0,LEC,138,,,GEN3,,
202208,14602,MATH,1101,MATH - Mathematics,A,Active,Intro to Mathematical Modeling,3,3,Athens,45,43,2,100,Erik,Miller,0,1350,1440,1023,Boyd Research & Education CTR,0208,Athens,M,,W,,F,,,,999,999,1,A,0,LEC,129,GEN1,,,,
202508,14602,MATH,1101,MATH - Mathematics,A,Active,Intro to Mathematical Modeling,3,3,Athens,85,30,55,100,Philip,Bergonio,0,1245,1400,1023,Boyd Research & Education CTR,0328,Athens,,T,,R,,,,,999,999,1,A,0,LEC,90,GEN1,,,,
